subj,stage,region,n_voxels,pval,rval
34,early_practice,BA20L,360,0.02414111899714458,0.132858083719056
34,early_practice,BA20R,359,1.301695220722889e-07,0.3049318827979989
34,early_practice,BA37L,308,0.0033468757062408597,0.17233827622575637
34,early_practice,BA37R,302,8.9085152038115e-05,0.22882662718955504
34,early_practice,BA38L,304,0.0761585119455661,0.10466798342907246
34,early_practice,BA38R,302,3.8824297729518375e-06,0.26825666305554363
34,late_practice,BA17L,157,4.652604470683302e-199,0.9788229033004119
34,late_practice,BA17R,151,2.5958295401163416e-203,0.9802386790735444
34,late_practice,BA18L,724,1.5296718700514725e-139,0.9438029649777453
34,late_practice,BA18R,717,2.1946365756213983e-182,0.9722093333452521
34,late_practice,BA19L,761,2.0108246739432554e-48,0.7260150962534835
34,late_practice,BA19R,800,2.1769967176476166e-67,0.8070262294622874
34,late_practice,BA20L,360,0.00016706003678602067,0.22004195738508325
34,late_practice,BA20R,359,0.00017351566665742147,0.21950103790518222
34,late_practice,BA37L,308,0.00046839486924375436,0.20483481654749708
34,late_practice,BA37R,302,3.430502602999804e-05,0.24154459611821286
34,late_practice,BA38L,304,0.0014094209457466745,0.18727968532097877
34,late_practice,BA38R,302,0.0024303217038688027,0.17800076555080396
35,early_practice,BA17L,157,6.621189082625281e-37,0.6566051343063718
35,early_practice,BA17R,151,2.60599231544128e-35,0.6452909646046627
35,early_practice,BA18L,724,5.8861843218762335e-49,0.7287872912079988
35,early_practice,BA18R,717,1.4874429099790834e-57,0.7691517474925529
35,early_practice,BA19L,761,4.394071169684231e-14,0.4253599232654191
35,early_practice,BA19R,800,4.3113686108538113e-13,0.40982288629214914
35,early_practice,BA20L,360,0.8862069066268434,0.008469250365860964
35,early_practice,BA20R,359,0.049572660452662676,0.11582220258481406
35,early_practice,BA37L,308,0.9786708484191842,0.0015822736393230168
35,early_practice,BA37R,302,0.571006136731815,0.03352187797328167
35,early_practice,BA38L,304,0.3057387270476057,0.060559787380155515
35,early_practice,BA38R,302,0.08647989749951339,0.10119472405108976
35,late_practice,BA17L,157,0.0030700981444810073,0.17388216206424473
35,late_practice,BA17R,151,0.000251733976504024,0.21412068952983682
35,late_practice,BA18L,724,1.4117121591548723e-08,0.3264427200036939
35,late_practice,BA18R,717,7.583081789899889e-11,0.3713402182789781
35,late_practice,BA19L,761,0.006876363734886453,0.1589400397130649
